run_id,variant,git_sha,tbl,query_id,run,planning_ms,exec_ms,shared_hit,shared_read,chunks_in_plan,compressed_chunks_in_plan,chunk_scan_nodes,chunks_excluded_startup,vectorized_filter,rows,scan_rows,workers_launched,query_text
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q1,1,6.071,27.468,2691,0,14,14,28,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q1,2,1.02,19.519,2691,0,14,14,28,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q1,3,0.907,23.266,2630,0,14,14,28,0,f,1,144000,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q1-np,1,5.503,14.068,2638,0,14,14,28,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q1-np,2,0.875,13.028,2592,0,14,14,28,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q1-np,3,0.793,12.934,2592,0,14,14,28,0,f,1,144000,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= now() - interval '30 days'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q2,1,1.052,17.314,2588,0,2,2,4,12,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q2,2,0.973,20.553,2532,0,2,2,4,12,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q2,3,0.922,22.334,2532,0,2,2,4,12,t,1,148800,2,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q2-np,1,0.888,5.146,2532,0,2,2,4,12,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q2-np,2,0.724,4.847,2532,0,2,2,4,12,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q2-np,3,0.642,4.682,2532,0,2,2,4,12,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= current_date - 30"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q3,1,0.425,6.405,2659,0,2,2,4,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q3,2,0.271,10.052,2613,0,2,2,4,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q3,3,0.279,5.732,2613,0,2,2,4,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q3-np,1,0.34,6.395,2659,0,2,2,4,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q3-np,2,0.197,5.888,2613,0,2,2,4,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q3-np,3,0.213,5.607,2613,0,2,2,4,0,t,1,148800,0,"SELECT count(*) AS n, avg(v1) AS avg_v1 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23'"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q4,1,0.496,21.529,4000,0,2,2,4,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q4,2,0.301,21.886,4000,0,2,2,4,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q4,3,0.333,21.377,4000,0,2,2,4,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q4-np,1,0.406,21.369,4000,0,2,2,4,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q4-np,2,0.25,21.55,4000,0,2,2,4,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q4-np,3,0.323,21.531,4000,0,2,2,4,0,t,1000,148800,0,"SELECT time_bucket(interval '7 days', day) AS bucket, device_id, avg(v1) AS avg_v1, max(v2) AS max_v2 FROM metrics_date WHERE day >= '2026-02-20' AND day < '2026-03-23' GROUP BY 1, 2"
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q5,1,0.431,0.071,24,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
defaults-30d-noindex-1dc07b9-20260922T010622Z,defaults-30d-noindex,1dc07b9,metrics_date,Q5,2,0.136,0.057,24,0,1,1,2,0,t,24,24,0,SELECT * FROM metrics_date WHERE device_id = 17 AND day = '2026-03-07'
